model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
./model.xml	obj	R_1PPDCRc	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23DHBSpp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2AGPE140tipp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2AGPE141tipp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2AGPG140tipp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2AGPG141tipp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DHGLCK	0.0	optimal	0.0	8.455375482578432	1.0
./model.xml	obj	R_2DHGLCNkt_tpp	0.0	optimal	0.0	1.270899435073465e-11	1.0
./model.xml	obj	R_2DHGLCNtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2HH24DDH1	0.0	optimal	0.0	7.625396610440773e-13	1.0
./model.xml	obj	R_2MAHMP	0.0	optimal	0.0	9.531745763050963e-12	1.0
./model.xml	obj	R_34HPPOR	0.0	optimal	0.0	7.72844251058187e-13	1.0
./model.xml	obj	R_3AMACHYD	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HAACOAT100	0.0	optimal	-4.101874284165437e-13	5.446711864600557e-12	1.0
./model.xml	obj	R_3HAACOAT120	0.0	optimal	-3.515892243570377e-13	5.446711864600571e-12	1.0
./model.xml	obj	R_3HAACOAT121	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HAACOAT140	0.0	optimal	-2.2373859731811457e-13	5.446711864600556e-12	1.0
./model.xml	obj	R_3HAACOAT141	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HAACOAT60	-0.8764359657956097	optimal	-0.8764359657959616	-0.8764359657670119	1.0
./model.xml	obj	R_3HAACOAT80	0.0	optimal	-3.515892243570375e-13	5.446711864600552e-12	1.0
./model.xml	obj	R_3HAD100	0.8070486059616584	optimal	0.807048605961395	0.8070486079751791	1.0
./model.xml	obj	R_3HAD120	0.3900031363792472	optimal	0.39000313637898365	0.39000313839276773	1.0
./model.xml	obj	R_3HAD121	0.41704546958241123	optimal	0.4170454695822585	0.4170454719236527	1.0
./model.xml	obj	R_3HAD140	0.25122841671134466	optimal	0.2512284167110723	0.2512284179883855	1.0
./model.xml	obj	R_3HAD141	0.41704546958241123	optimal	0.41704546958219124	0.4170454706102734	1.0
./model.xml	obj	R_3HAD160	0.25122841671134466	optimal	0.2512284167110723	0.25122841749175856	1.0
./model.xml	obj	R_3HAD161	0.41704546958241123	optimal	0.41704546958219124	0.4170454706102734	1.0
./model.xml	obj	R_3HAD180	0.02199596512661376	optimal	0.021995965126341367	0.021995965637430084	1.0
./model.xml	obj	R_3HAD181	0.31578674788551125	optimal	0.31578674788526123	0.3157867488655659	1.0
./model.xml	obj	R_3HAD40	0.0	optimal	-6.587852485751e-11	-6.587852485751e-11	1.0
./model.xml	obj	R_3HAD60	0.8764359657956097	optimal	0.8764359657830622	0.8764359657830622	1.0
./model.xml	obj	R_3HAD80	0.8764359657956097	optimal	0.8764359657830622	0.8764359657830622	1.0
./model.xml	obj	R_3HBCOAHL	0.0	optimal	-5.067297009348366e-12	-5.067297009348366e-12	1.0
./model.xml	obj	R_3HOXPACt2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HPAOX	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3MBt2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3MBtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3OADPCOAT	0.0	optimal	0.0	2.205454210062616e-11	1.0
./model.xml	obj	R_3OAR100	0.8764359657956097	optimal	0.8764359657830622	0.8764359657830622	1.0
./model.xml	obj	R_3OAR120	0.3900031363792472	optimal	0.39000313636669964	0.39000313636669964	1.0
./model.xml	obj	R_3OAR121	0.41704546958241123	optimal	0.41704546956777244	0.41704546956777244	1.0
./model.xml	obj	R_3OAR140	0.32061577654529594	optimal	0.32061577653274836	0.32061577653274836	1.0
./model.xml	obj	R_3OAR141	0.41704546958241123	optimal	0.41704546956777244	0.41704546956777244	1.0
./model.xml	obj	R_3OAR160	0.25122841671134466	optimal	0.25122841670646506	0.25122841670646506	1.0
./model.xml	obj	R_3OAR161	0.41704546958241123	optimal	0.4170454695759845	0.4170454695759845	1.0
./model.xml	obj	R_3OAR180	0.02199596512661376	optimal	0.0219959651232993	0.0219959651232993	1.0
./model.xml	obj	R_3OAR181	0.31578674788551125	optimal	0.3157867478828366	0.3157867478828366	1.0
./model.xml	obj	R_3OAR40	0.0	optimal	-2.8752999980952758e-11	-2.8752999980952758e-11	1.0
./model.xml	obj	R_3OAR60	0.0	optimal	-2.8752999980952758e-11	-2.8752999980952758e-11	1.0
./model.xml	obj	R_3OAR80	0.8764359657956097	optimal	0.876435965790133	0.876435965790133	1.0
./model.xml	obj	R_3OAS100	0.8764359657956097	optimal	0.876435965790133	0.876435965790133	1.0
./model.xml	obj	R_3OAS120	0.3900031363792472	optimal	0.3900031363737705	0.3900031363737705	1.0
./model.xml	obj	R_3OAS121	0.41704546958241123	optimal	0.41704546957960614	0.41704546957960614	1.0
./model.xml	obj	R_3OAS140	0.32061577654529594	optimal	0.3206157765398192	0.3206157765398192	1.0
./model.xml	obj	R_3OAS141	0.41704546958241123	optimal	0.41704546957602173	0.41704546957602173	1.0
./model.xml	obj	R_3OAS160	0.25122841671134466	optimal	0.25122841670921486	0.25122841670921486	1.0
